statename,rank,hs6,val2013,val2014,val2015,val2016
Alabama,0,0,19301.32,19450.4,19328.18,20422.13
Alabama,0,25,11547.14,11838.45,12072.45,13873.8
Alabama,1,870323,1655.65,2727.81,3142.5,3539.26
Alabama,2,870333,1749.59,1621.3,1760.87,2046.18
Alabama,3,870324,2612.58,1915.55,1669.7,1820.76
Alabama,4,880000,592.72,595.33,605.61,862.7
Alabama,5,270112,1238.48,1113.65,694.61,511.24
Alabama,6,840734,359.36,346.81,353.12,488.47
Alabama,7,870332,449.2,382.87,436.67,466.51
Alabama,8,470321,322.22,359.73,343.68,413.47
Alabama,9,930690,95.51,63.84,174.98,408.54
Alabama,10,390740,464.94,599.5,510.04,379.32
Alabama,11,382490,433.43,263.1,184.65,350.53
Alabama,12,271019,20.77,38.69,121.46,320.54
Alabama,13,120190,29.5,221.41,244.32,288.9
Alabama,14,481039,115.48,78.68,212.52,253.03
Alabama,15,870830,119.72,180.25,284.56,247.62
Alabama,16,721913,25.94,118.38,60.04,218.01
Alabama,17,760612,164.28,112.37,238.71,190.44
Alabama,18,900120,236.41,264.81,138.13,166.29
Alabama,19,20714,350.3,262.44,168.06,160.12
Alabama,20,870829,105.34,97.65,123.58,132.51
Alabama,21,381519,55.72,70.1,115.71,130.65
Alabama,22,293090,185.62,174.19,137.83,126.58
Alabama,23,440710,94.31,116.39,125.28,121.62
Alabama,24,722592,56.28,91.51,133.7,118.39
Alabama,25,940190,13.77,22.09,92.15,112.13
Alaska,0,0,4527.82,5111.16,4619.7,4347.5
Alaska,0,25,4252.99,4534.47,4201.57,4114.39
Alaska,1,260800,813.8,1067.97,887.19,846.4
Alaska,2,30499,341.21,347.22,374.36,398.55
Alaska,3,260700,389.33,367.49,327.5,382.91
Alaska,4,30475,283.59,319.01,298.85,294.62
Alaska,5,30389,251.23,269.84,246.01,254.99
Alaska,6,30363,231.44,252.61,267.49,251.15
Alaska,7,30390,245.68,224.69,255.61,177.32
Alaska,8,30311,60.57,93.85,134.94,162.28
Alaska,9,271019,285.03,176.15,162.51,149.78
Alaska,10,30339,161.41,163.67,139.07,148.5
