statename,rank,hs6,val2013,val2014,val2015,val2016
Alabama,0,0,19301.32,19450.4,19328.18,20422.13
Alabama,0,25,11547.14,11838.45,12072.45,13873.8
Alabama,1,870323,1655.65,2727.81,3142.5,3539.26
Alabama,2,870333,1749.59,1621.3,1760.87,2046.18
Alabama,3,870324,2612.58,1915.55,1669.7,1820.76
Alabama,4,880000,592.72,595.33,605.61,862.7
Alabama,5,270112,1238.48,1113.65,694.61,511.24
Alabama,6,840734,359.36,346.81,353.12,488.47
Alabama,7,870332,449.2,382.87,436.67,466.51
Alabama,8,470321,322.22,359.73,343.68,413.47
Alabama,9,930690,95.51,63.84,174.98,408.54
Alabama,10,390740,464.94,599.5,510.04,379.32
Alabama,11,382490,433.43,263.1,184.65,350.53
Alabama,12,271019,20.77,38.69,121.46,320.54
Alabama,13,120190,29.5,221.41,244.32,288.9
Alabama,14,481039,115.48,78.68,212.52,253.03
Alabama,15,870830,119.72,180.25,284.56,247.62
Alabama,16,721913,25.94,118.38,60.04,218.01
Alabama,17,760612,164.28,112.37,238.71,190.44
Alabama,18,900120,236.41,264.81,138.13,166.29
Alabama,19,20714,350.3,262.44,168.06,160.12
Alabama,20,870829,105.34,97.65,123.58,132.51
Alabama,21,381519,55.72,70.1,115.71,130.65
Alabama,22,293090,185.62,174.19,137.83,126.58
Alabama,23,440710,94.31,116.39,125.28,121.62
Alabama,24,722592,56.28,91.51,133.7,118.39
Alabama,25,940190,13.77,22.09,92.15,112.13
Alaska,0,0,4527.82,5111.16,4619.7,4347.5
Alaska,0,25,4252.99,4534.47,4201.57,4114.39
Alaska,1,260800,813.8,1067.97,887.19,846.4
Alaska,2,30499,341.21,347.22,374.36,398.55
Alaska,3,260700,389.33,367.49,327.5,382.91
Alaska,4,30475,283.59,319.01,298.85,294.62
Alaska,5,30389,251.23,269.84,246.01,254.99
Alaska,6,30363,231.44,252.61,267.49,251.15
Alaska,7,30390,245.68,224.69,255.61,177.32
Alaska,8,30311,60.57,93.85,134.94,162.28
Alaska,9,271019,285.03,176.15,162.51,149.78
Alaska,10,30339,161.41,163.67,139.07,148.5
Alaska,11,261690,140.29,139.94,154.12,148
Alaska,12,270900,50.44,73.9,58.18,146.75
Alaska,13,260300,150.2,186.47,98.97,145.74
Alaska,14,30312,257.67,208.27,281.52,137.95
Alaska,15,230120,77.18,100.46,100.3,96.44
Alaska,16,440320,162.55,122.53,89.92,92.84
Alaska,17,30367,111.68,131.54,98.67,89.53
Alaska,18,30614,99.25,97.34,101.53,65.92
Alaska,19,880000,46.16,103.81,46.81,28.28
Alaska,20,30351,45.17,38.39,24.43,22.61
Alaska,21,30213,21.15,19.09,17.07,17.94
Alaska,22,30481,3.13,6.66,10.1,16.97
Alaska,23,30221,18.25,11.68,14.48,14.82
Alaska,24,711299,0,0.07,0.12,12.4
Alaska,25,150420,6.56,11.83,11.81,11.69
Arizona,0,0,19478.29,21247.28,22655.35,22016.24
Arizona,0,25,9189.97,10330.71,11577.34,11345.89
Arizona,1,880000,2774.14,2225.74,2967.9,2256.81
Arizona,2,260300,1547.69,2177.73,2502.45,1725.58
Arizona,3,880212,5.28,141.47,66.36,1009.11
Arizona,4,854231,1152.09,878.44,1051.37,826.05
Arizona,5,854239,646.31,749.12,693.54,814.02
Arizona,6,930690,414.6,412.71,354.25,559.64
Arizona,7,853890,345.13,401.5,404.9,428.4
Arizona,8,854150,44.77,345.37,427.62,428.02
Arizona,9,271121,540.04,629.1,373.16,391.37
Arizona,10,851762,228.47,270.61,331.72,381.09
Arizona,11,853669,189.81,192.52,208.95,235.11
Arizona,12,902139,185.32,232.79,204.79,222.31
Arizona,13,853710,106.82,197.36,192.74,216.62
Arizona,14,841111,19.11,171.87,258.5,197.83
Arizona,15,902190,19.84,29.64,78.99,173.13
Arizona,16,853690,131.96,135.11,157.73,168.91
Arizona,17,853400,61.95,71.3,80.36,161.34
Arizona,18,848180,89.21,111.13,124.46,160.44
Arizona,19,392690,146.88,178.51,175.04,158.17
Arizona,20,300490,112.81,214.79,256.71,156.32
Arizona,21,870829,10.09,79.17,139.75,147.7
Arizona,22,847150,151.25,154.98,140.84,140.75
Arizona,23,903289,75.2,105.48,138.85,138.31
Arizona,24,848690,102.17,85.24,122.95,127.72
Arizona,25,210690,89.02,139.04,123.42,121.14
