statename,rank,hs6,val2013,val2014,val2015,val2016
Alabama,0,0,18940.76,22241.8,21897.2,22132.1
Alabama,0,25,6591.53,10105.95,10337.65,10569.21
Alabama,1,270900,346.48,2645.55,1816.26,1895.71
Alabama,2,870829,597.59,824.89,1158.52,1053.55
Alabama,3,840734,641.58,878.81,944.31,855.84
Alabama,4,870899,594.53,774.69,652.83,696.97
Alabama,5,940190,447.8,538.95,579.37,689.53
Alabama,6,870840,334.19,455.04,612.59,564.32
Alabama,7,870894,359.13,418.96,443.81,479.14
Alabama,8,840820,402.99,395.89,453.41,427.26
Alabama,9,870880,304.39,321.08,345.49,356.01
Alabama,10,870830,298.54,344.36,383.02,352.33
Alabama,11,880330,88.79,109.88,103.35,338.06
Alabama,12,852721,167.25,237.18,280.43,315.65
Alabama,13,840991,465.67,511.38,420.58,298.66
Alabama,14,854430,147.12,143.72,242.59,229.62
Alabama,15,271019,24.82,24.62,183.26,228.91
Alabama,16,848180,206.39,200.48,194.63,199.39
Alabama,17,870870,209.77,232.16,218.28,193.76
Alabama,18,853710,170.42,188.22,227.54,192.11
Alabama,19,760120,43.78,67.47,133.55,187.76
Alabama,20,851150,102.73,92.99,155.36,181.77
Alabama,21,830230,166.77,174.19,191.39,179.58
Alabama,22,870850,82.15,185.85,138.4,174.97
Alabama,23,851140,62.63,54.38,135.72,162.68
Alabama,24,854370,194.06,176.22,173.63,160.82
Alabama,25,903289,131.97,109.01,149.32,154.79
Alaska,0,0,1480.64,2015.58,2493.68,2094.15
Alaska,0,25,854.6,1424.47,1460.81,1610.89
Alaska,1,271019,526.08,691.82,702.94,462.68
Alaska,2,851762,1.9,21.93,34.52,237.04
Alaska,3,851770,0.82,4.33,8.57,170.4
Alaska,4,260300,66.24,87.8,74.14,145.18
Alaska,5,847130,92.59,96.61,83.01,109.48
Alaska,6,847150,0.56,20.69,72.44,74.22
Alaska,7,270900,0,310.15,33.26,69.03
Alaska,8,271012,107.92,93.83,63.62,58.61
Alaska,9,852351,0.03,8.61,275.36,38.14
Alaska,10,854231,7.31,9.67,13,34.17
Alaska,11,854239,1.21,3.91,5.16,31.03
Alaska,12,854470,0.06,0.13,0.08,27.11
Alaska,13,854140,1.42,1.35,12.89,20.16
Alaska,14,851712,2.39,0.33,0.57,18.05
Alaska,15,252329,4.88,5.89,5.98,18.01
Alaska,16,730429,7.21,21.34,17.41,16.94
Alaska,17,847330,0.18,3.28,18.92,12.42
Alaska,18,841121,8.71,11.51,3.23,11.17
Alaska,19,903040,0.09,0.09,0.16,9.76
Alaska,20,283325,14.1,18.66,15.16,9.72
Alaska,21,711311,0.46,0.47,0.58,8.72
Alaska,22,854129,0.82,1,1.8,8.01
Alaska,23,290511,3.66,5.62,12.17,7.06
Alaska,24,848180,5.67,5.43,5.79,7.03
Alaska,25,853120,0.29,0.03,0.03,6.74
Arizona,0,0,19024,19743.57,19748.97,19654.49
Arizona,0,25,7531.84,7792.64,7198.28,7341.63
Arizona,1,70200,592.44,522.93,481.89,571.33
Arizona,2,880240,283.2,839.54,928.95,559.96
Arizona,3,70960,439.09,461.78,363.92,472.63
Arizona,4,854140,516.54,264.88,338.88,401.28
Arizona,5,854430,346.2,400.1,418.69,352.23
Arizona,6,851762,283.91,216.12,239.65,346.04
Arizona,7,853669,256.62,290.43,276.35,336.71
Arizona,8,854239,377.37,255.2,325.45,319.16
Arizona,9,854231,833.33,898.14,360.44,315.35
Arizona,10,841191,300.29,342.73,410.32,309.82
Arizona,11,848620,639.89,462.48,191.8,295.41
Arizona,12,841199,294.09,309.41,309.94,294.82
Arizona,13,853890,198.46,254.74,255.29,286.63
Arizona,14,848690,297.95,221.25,267.23,277.74
Arizona,15,70993,244.38,246.23,224.14,267.59
Arizona,16,842890,234.9,255.23,265.79,265.62
Arizona,17,70700,259.18,270.65,239.23,233.15
Arizona,18,740311,359.35,312.78,278.79,221.98
Arizona,19,870829,174.02,180.57,200.82,204.65
Arizona,20,850440,139.67,160.91,206.79,193.14
Arizona,21,80711,194.57,186.84,196.06,186.77
Arizona,22,630790,120.4,180.99,202.35,164.39
Arizona,23,930690,107.65,138.52,102.47,163.56
Arizona,24,880390,7.76,65.12,27.58,152.24
Arizona,25,850300,30.55,55.07,85.44,149.43
