statename,rank,countryd,val2013,val2014,val2015,val2016
Alabama,0,World,19301.32,19450.4,19328.18,20422.13
Alabama,0,Top 25,17096.46,17318.52,17535.82,18537.02
Alabama,1,Canada,4304.87,4257.49,4072.1,4134.51
Alabama,2,China,2468.19,3126.07,3114.45,3273.45
Alabama,3,Germany,2232.92,2161.99,2478.4,3193.72
Alabama,4,Mexico,2226.47,2345.67,2887.13,2632.9
Alabama,5,United Kingdom,691.53,600.45,609.74,558.21
Alabama,6,Japan,685.69,593.05,519.44,525.68
Alabama,7,"Korea, South",552.11,599.66,464.04,508.35
Alabama,8,United Arab Emirates,184.06,225.53,283.43,468.07
Alabama,9,France,426.86,456.67,447.79,421.93
Alabama,10,Australia,301.18,288.4,266.87,297.87
Alabama,11,India,241.35,225.66,202.45,276.41
Alabama,12,Belgium,224.67,233.64,197.35,246.2
Alabama,13,Brazil,631.04,474.69,333.63,238.57
Alabama,14,Taiwan,125.45,110.14,86.68,198.88
Alabama,15,Saudi Arabia,181.34,128.81,193.89,174.84
Alabama,16,South Africa,183.63,212.41,178.91,174.39
Alabama,17,Colombia,204.14,215.32,187.19,174.13
Alabama,18,Netherlands,142.63,107.6,211.65,173.9
Alabama,19,Dominican Republic,135.54,103.48,127.71,153.06
Alabama,20,Singapore,217.75,142.7,142.78,139.21
Alabama,21,Hong Kong,168.51,183.07,136.05,125.37
Alabama,22,Italy,173.7,148.69,131.1,116.94
Alabama,23,Thailand,136.94,145.41,106.69,113.13
Alabama,24,Honduras,210.65,198.33,129.11,112.75
Alabama,25,Kuwait,45.25,33.59,27.22,104.59
Alaska,0,World,4527.82,5111.16,4619.7,4347.5
Alaska,0,Top 25,4439.96,4932.8,4549.73,4298.68
Alaska,1,China,1236.23,1467.37,1203.2,1181.35
Alaska,2,Japan,688.03,1014.54,964.12,815.69
Alaska,3,"Korea, South",705.25,672.74,733.19,731.63
Alaska,4,Canada,604.3,517.13,419.21,484.81
Alaska,5,Germany,289.08,322.85,279.24,256.92
Alaska,6,Spain,141.43,182.49,150.36,151.74
Alaska,7,Netherlands,111.85,104.26,119.05,134.56
Alaska,8,Malaysia,2.48,2.18,105.95,84.67
Alaska,9,Australia,62.05,111.16,85.8,73.55
Alaska,10,France,49.64,50.84,46.31,54.9
Alaska,11,Finland,42.57,64.64,56.8,44.59
Alaska,12,Belgium,64.86,63.44,49.36,37.35
Alaska,13,Mexico,7.38,9.75,7.7,35.88
Alaska,14,Italy,8.37,69.01,56.65,30.99
Alaska,15,Taiwan,16.43,15.31,104.46,29.34
Alaska,16,Thailand,41.13,41.46,48.79,26.71
Alaska,17,United Kingdom,27.96,40.34,40.68,25.65
Alaska,18,Nicaragua,0.05,0.35,0,20.5
Alaska,19,Lithuania,32.83,15.34,14.15,13.66
Alaska,20,Vietnam,1.5,6.43,5.94,12.75
Alaska,21,Hong Kong,23.91,17.99,11.29,12.7
Alaska,22,Ukraine,39.04,19.48,4.13,11.17
Alaska,23,Denmark,17.32,14.04,13.68,10.38
Alaska,24,Singapore,217.05,100.01,21.3,8.67
Alaska,25,Indonesia,9.22,9.65,8.38,8.51
Arizona,0,World,19478.29,21247.28,22655.35,22016.24
Arizona,0,Top 25,17990.21,19736.03,21213.9,20761.46
Arizona,1,Mexico,7070.8,8623.78,9161.95,8283.85
Arizona,2,Canada,2273.88,2254.04,2303.25,2138.75
Arizona,3,"Korea, South",227.46,308.44,364.44,1305.79
Arizona,4,China,1079.92,1019.4,1263.4,1210.43
Arizona,5,United Kingdom,875.01,1101.06,1066.38,857.75
Arizona,6,Germany,739.33,753.09,829.95,726.49
Arizona,7,Japan,856.04,663.04,545.16,635.77
Arizona,8,Singapore,432.5,487.71,406.19,525.66
Arizona,9,Thailand,464.3,511.09,602.1,493.75
Arizona,10,France,459.09,462.22,464,471.3
Arizona,11,Brazil,362.82,352.19,435.31,440.05
Arizona,12,Netherlands,368.31,330.22,423.7,419.18
Arizona,13,Malaysia,400.36,349.72,388.86,407.46
Arizona,14,Taiwan,392.08,482.45,430.59,396.22
Arizona,15,Hong Kong,567.38,350.42,420.42,386.78
Arizona,16,United Arab Emirates,216.57,135.78,203.13,284
Arizona,17,Saudi Arabia,113.09,246.04,249.03,264.1
Arizona,18,Ireland,105.04,204.85,255.63,243.96
Arizona,19,Australia,225.66,247.87,225.08,240.97
Arizona,20,Belgium,76.86,117.9,166.18,224.41
Arizona,21,Switzerland,210.92,223.52,234.05,221.38
Arizona,22,Israel,156.45,236.6,252.75,220.69
Arizona,23,Italy,175.9,159.3,345.41,156.84
Arizona,24,India,103.26,73.13,102.72,114.37
Arizona,25,Spain,37.17,42.19,74.23,91.53
