statename,rank,countryd,val2013,val2014,val2015,val2016
Alabama,0,World,18940.76,22241.8,21897.2,22132.1
Alabama,0,Top 25,17569.05,20374.24,19849.29,20312.19
Alabama,1,"Korea, South",4037.33,4723.22,4685.52,4526.8
Alabama,2,Germany,3016.41,3609.96,4109.49,3869.29
Alabama,3,Mexico,1405.59,3554.05,2878.11,3177.12
Alabama,4,Canada,2026.48,2226.31,2043.27,2075.59
Alabama,5,China,1973.2,2037.57,2183.25,1872.48
Alabama,6,Japan,1320.04,1310.91,1015.16,824.9
Alabama,7,Iraq,0,60.41,217.07,534.68
Alabama,8,Russia,147.55,63.24,174.99,336.17
Alabama,9,United Kingdom,199.16,190.73,242.13,318.89
Alabama,10,Vietnam,177.23,202.57,256.46,301.41
Alabama,11,Colombia,187.77,229.75,176.04,264.59
Alabama,12,France,211.85,171.87,166.07,231.6
Alabama,13,Czech Republic,159.06,247.25,239.78,222.94
Alabama,14,Brazil,1578.19,690.61,173.89,197.03
Alabama,15,Italy,256.83,160.21,167.1,188.78
Alabama,16,Hungary,83.84,119.66,167.72,187.93
Alabama,17,Argentina,21.67,5.88,8.38,186.87
Alabama,18,Indonesia,84.04,70.54,91.68,160.21
Alabama,19,India,91.67,115.49,141.16,149.85
Alabama,20,Taiwan,142.35,146.42,188.73,136.99
Alabama,21,Bangladesh,0.7,2.02,17.04,120.99
Alabama,22,El Salvador,110.36,110.86,120.75,118.22
Alabama,23,Australia,83.88,104.45,135.92,106.45
Alabama,24,Honduras,219.18,170.18,170.29,104
Alabama,25,Austria,34.64,50.06,79.29,98.44
Alaska,0,World,1480.64,2015.58,2493.68,2094.15
Alaska,0,Top 25,1432.55,1988.55,2453.25,2075.84
Alaska,1,Canada,547.57,645.88,611.84,481.55
Alaska,2,China,181.16,339.03,662.59,454.86
Alaska,3,"Korea, South",438.65,357.38,328.63,317.18
Alaska,4,Thailand,1.29,15.25,17.01,312.68
Alaska,5,Japan,66.43,86.09,528.41,80.78
Alaska,6,Russia,18.49,320.96,46.87,75.9
Alaska,7,Malaysia,3.12,7.74,9.92,67.99
Alaska,8,Singapore,9.86,11.26,28.24,65.04
Alaska,9,France,42.33,48.75,14.35,62.91
Alaska,10,Taiwan,11.86,15.4,68.5,30.94
Alaska,11,Mexico,13.75,20.9,32.8,27.94
Alaska,12,United Kingdom,20.62,35.92,30.07,22.4
Alaska,13,Philippines,6.77,9.3,13.04,15.65
Alaska,14,Germany,16.92,24.07,15.89,13.16
Alaska,15,Denmark,4.86,7.9,5.84,8.14
Alaska,16,Italy,5.66,14.38,11.17,6.41
Alaska,17,Netherlands,4.84,2.5,6.28,5.47
Alaska,18,India,3.64,4.75,2.15,5.27
Alaska,19,Australia,4.08,3.87,5.07,4.41
Alaska,20,Austria,0.45,0.87,2,3.65
Alaska,21,Sweden,4.66,4.16,3.28,3.49
Alaska,22,Vietnam,0.39,0.8,1.64,2.84
Alaska,23,Saudi Arabia,0,0,0.02,2.63
Alaska,24,Argentina,4.61,7.95,2.58,2.3
Alaska,25,Finland,20.51,3.43,5.08,2.25
Arizona,0,World,19024,19743.57,19748.97,19654.49
Arizona,0,Top 25,18000.35,18473.42,18986.76,18941.87
Arizona,1,Mexico,7036.73,7309.88,7639.57,7453.25
Arizona,2,China,2478.01,2714.37,2651.14,2557.38
Arizona,3,Canada,1514.95,1565.56,1511.01,1321.93
Arizona,4,Germany,570.22,640.63,778.29,875.18
Arizona,5,Brazil,130.8,600.78,500.14,874.48
Arizona,6,Malaysia,1198.72,900.07,750.73,677.81
Arizona,7,Japan,1376.6,1025.5,748.7,675.28
Arizona,8,Netherlands,279.92,352.92,443.2,593.7
Arizona,9,Italy,228.9,323.81,489.13,565.03
Arizona,10,United Kingdom,431.69,485.18,670.21,561.36
Arizona,11,Taiwan,502.65,494.83,489.75,468.33
Arizona,12,France,283.91,357.35,437.69,457.23
Arizona,13,Thailand,226.27,194.92,219.96,245.43
Arizona,14,India,175.58,193.56,224.4,213.93
Arizona,15,Singapore,398.24,217.85,211.16,200.32
Arizona,16,"Korea, South",293.8,278.58,307.02,193.71
Arizona,17,Czech Republic,192.25,190.04,210.17,174.7
Arizona,18,Vietnam,86.58,105.31,117.77,131.79
Arizona,19,Ireland,34.17,37.03,82.17,126.9
Arizona,20,Israel,169.05,96.02,77.75,114.16
Arizona,21,Switzerland,97.07,86.48,71.79,98.04
Arizona,22,Australia,74.53,80.91,91.14,92.65
Arizona,23,Philippines,111.58,80.88,91.37,90.13
Arizona,24,Indonesia,69.8,96.93,87.38,89.6
Arizona,25,Spain,38.32,44.04,85.13,89.55
